순번,회사명,공장대표주소,업종명,생산품,전화번호,팩스번호
2415,삼우금속공업(주),"경상남도 창원시 성산구 성주로 53 (남산동, 삼우금속공업(주))",도금업,금속표면처리,055-282-4235,055-281-4042
2416,삼우금속공업(주) 제2사업장,"경상남도 창원시 성산구 성주로97번길 15 (남산동, 삼우금속공업)",항공기용 부품 제조업,항공기부품,055-282-4235,055-282-4042
2417,삼우기계,"경상남도 창원시 성산구 웅남로 316, 1동 1층 113, 213, 313, 413 (웅남동)",금속 절삭기계 제조업,"공작기계, 다이캐스팅(금형), 유압부품 등",055-286-1284,055-286-9284
2418,삼우정밀,경상남도 창원시 성산구 월림로65번길 48 (신촌동),절삭가공 및 유사처리업,기계부품가공,055-284-9491,055-283-9492
2419,삼우테크,경상남도 창원시 의창구 차상로 182-14 (팔용동),절삭가공 및 유사처리업,자동차부품,055-286-6649,055-286-7020
2420,삼우하이테크(주),경상남도 창원시 마산합포구 진북면 진북신촌로 176,절삭가공 및 유사처리업,유압부품,055-286-1889,055-282-5062
2421,삼원디케이,경상남도 창원시 성산구 성산패총로38번길 18 (성산동),그 외 기타 분류 안된 금속 가공 제품 제조업,"명판, 금속케이스 등",055-286-0152,055-286-0153
2422,삼원정밀,"경상남도 창원시 의창구 평산로8번길 31 (팔용동, (주)동서기전)",주형 및 금형 제조업,PRESS금형 및 BODY COMP,055-296-4243,055-296-4244
2423,삼인레이저인쇄,경상남도 창원시 의창구 동읍 무성길91번길 22 (삼인레이저인쇄),기타 인쇄업 외 2 종,"전자부품 인쇄, 전자부품 사출",,
2424,삼일Tystem,"경상남도 창원시 의창구 사화로 210, 제5아파트형공장 1층 101호 (팔용동)",절삭가공 및 유사처리업,"항공기, 자동화설비 제작 등",055-274-2209,055-274-2210
2425,삼일산업,경상남도 창원시 성산구 공단로 322 (웅남동),기타 가정용 전기기기 제조업,"bush screw, holder bracket",055-275-3768,055-275-3769
2426,삼일정공(주),"경상남도 창원시 의창구 죽전로74번길 34 (팔용동, 삼일정공(주))",기타 기관 및 터빈 제조업 외 1 종,"발전설비부품, 감속기",055-298-3171,055-256-5984
2427,삼일테크(주) 1공장,경상남도 창원시 마산회원구 자유무역3길 72 (양덕동),"산업용 오븐, 노 및 노용 버너 제조업 외 4 종","전용기, 자동화SYSTEM, 전착도장설비, 트롤리컨베이어 등 ",055-237-3131,055-252-3642
2428,삼일테크(주) 2공장,경상남도 창원시 마산회원구 자유무역3길 112 (양덕동),"산업용 오븐, 노 및 노용 버너 제조업 외 4 종","전용기, 자동화system등",070-8361-3642,055-252-3642
2429,삼정금형,"경상남도 창원시 성산구 반월로 71-13, 삼정금형 (신촌동)",주형 및 금형 제조업,에어콘 외 금형제작,055-296-9698,
2430,삼정기업,"경상남도 창원시 마산합포구 합포로 217 (산호동, 주택)",그 외 기타 일반목적용 기계 제조업 외 13 종,"가스킷, 패킹, 오링",055-241-5784,055-241-6120
2431,삼정테크,경상남도 창원시 의창구 차룡단지로 67 (팔용동),주형 및 금형 제조업,금형,,055-252-9058
2432,삼정테크,경상남도 창원시 성산구 공단로 126 (신촌동),절삭가공 및 유사처리업,항공기부품,055-296-7319,055-296-7318
2433,삼정테크,경상남도 창원시 마산회원구 내서읍 중리공단로 94 (삼정테크),금속 절삭기계 제조업,금속절삭기계제조,055-231-4311,055-231-4351
2434,삼정통상(주),경상남도 창원시 의창구 대산면 진산대로 329,배합 사료 제조업 외 1 종,동물사료,055-297-4344,
2435,삼진공조,경상남도 창원시 의창구 동읍 주남로 216,그 외 기타 금속가공업,"덕트,에어커텐,송풍기,덕트기구",055-256-0771,
2436,삼진보링,경상남도 창원시 진해구 남영로511번길 26 (남양동),그 외 기타 금속가공업,"샤프트, 지게차브릿지",,055-547-6390
2437,삼진산업,"경상남도 창원시 의창구 평산로 60 (팔용동, 삼진산업)",변압기 제조업,"초고압 판넬 라디에터, 행가이드 앗세이",055-299-1211,055-256-1189
2438,삼진산업,경상남도 창원시 진해구 남의로21번길 71 (남양동),주형 및 금형 제조업,주물용중자,055-552-7417,055-552-7417
2439,삼진스프링공업사,경상남도 창원시 마산회원구 내서읍 호계리 356-1번지,금속 스프링 제조업,스프링,055-231-5171,055-231-5172
2440,삼진엔텍,경상남도 창원시 진해구 남의로21번길 69 (남양동),주형 및 금형 제조업,주물중자,055-552-9954,055-552-9950
2441,삼진전자,"경상남도 창원시 성산구 완암로 50, 넥스동 904호 (성산동, SK테크노파크)",전자부품 실장기판 제조업,의료기기용 전자제어기판조립체,055-231-8055,
2442,삼진정공,"경상남도 창원시 마산회원구 봉암공단9길 51 (봉암동, 주택)",금속 절삭기계 제조업,공작기계부품,055-299-9984,055-299-9084
2443,삼진정공,"경상남도 창원시 성산구 완암로 50, 메카동 1층 109호 (성산동, SK테크노파크)",주형 및 금형 제조업,금형부품,055-285-9651,055-285-9662
2444,삼진정밀,"경상남도 창원시 성산구 공단로98번길 15 (신촌동, 삼진정밀)",절삭가공 및 유사처리업,정밀기계부품,055-286-9978,055-286-9979
2445,삼진중기,경상남도 창원시 마산합포구 진북면 진북산업로 418-30 외 1필지,건설.광업용 기계 및 장비 수리업,"자동차부품, 금속공작물",,055-271-4026
2446,삼창건기,경상남도 창원시 성산구 월림로67번길 35 (신촌동),기어 및 동력전달장치 제조업,구동동력장치,055-295-5270,055-295-5202
2447,삼창기계,경상남도 창원시 마산회원구 봉암공단11길 26 (봉암동),기타 가공 공작기계 제조업,샤프트,055-263-7208,
2448,삼창정밀,"경상남도 창원시 성산구 공단로 324-13 (웅남동, 삼창정밀)",주형 및 금형 제조업,전자제품 생산 및 자동차 제품 생산용 프레스 금형,055-285-9561,055-285-9563
2449,삼천리스마트,"경상남도 창원시 의창구 차룡로48번길 44, 1동 5층 508호(팔용동) 1동 5층 508호",전기회로 접속장치 제조업,전기커넥터제조,055-288-1113,055-288-1114
2450,삼천리철강(주),"경상남도 창원시 마산회원구 봉암공단5길 21 (봉암동, 삼천리정밀)",그 외 기타 금속가공업,철판 철강.재가공 연료 연소기구,055-255-4000,055-299-7676
2451,삼천산업(주),경상남도 창원시 의창구 평산로 24 (팔용동),기타 가정용 전기기기 제조업 외 2 종,"세탁기 및 식기세척기 부품, 스마트플러그",070-4035-3908,055-273-1089
2452,삼천산업(주),경상남도 창원시 의창구 평산로 26 (팔용동),기타 가정용 전기기기 제조업,"세탁기, 식기세척기",055-587-7077,055-273-1089
2453,삼하테크,경상남도 창원시 마산회원구 봉암공단1길 75 (봉암동),그 외 기타 일반목적용 기계 제조업 외 1 종,산업용 기계,055-291-0712,055-291-0713
2454,삼현산업,경상남도 창원시 의창구 북면 백월로327번길 17-11 (삼현산업),절삭가공 및 유사처리업,공작기계부품,055-252-3175,055-252-3174
2455,삼현정밀,"경상남도 창원시 성산구 완암로 50, 테크동 618호 (성산동, SK테크노파크)",기어 및 동력전달장치 제조업 외 1 종,"베어링, 정밀부품, 기어류",055-607-0369,055-607-0370
2456,삼현철강(주),"경상남도 창원시 의창구 평산로70번길 36 (팔용동, 삼현철강(주))",그 외 기타 1차 철강 제조업,"열연철판,용단철판",055-252-6060,055-252-7108
2457,삼호정밀,"경상남도 창원시 성산구 삼동로 100-29, 제8동호 (내동)",절삭가공 및 유사처리업,기계부품,,
2458,삼홍기계,경상남도 창원시 마산합포구 진북면 산단2길 52,내연기관 제조업 외 3 종,선박용엔진부품 외,070-4878-9300,055-714-8134
2459,삼화기업,경상남도 창원시 의창구 팔용로345번길 13 (팔용동),반도체 제조용 기계 제조업,정밀제관,,
2460,삼화수출포장,경상남도 창원시 의창구 대산면 제동리 486-75,"목재 포장용 상자, 드럼 및 유사용기 제조업",목재포장 용기,055-255-0920,055-255-0925
2461,삼화스틸(주) 창원공장,경상남도 창원시 성산구 공단로 704 (성주동),기타 1차 비철금속 제조업 외 1 종,비철금속(타이타늄) 분말·소결품,055-269-7268,055-266-4487
2462,삼화전자,경상남도 창원시 진해구 마천동 61-7번지,절삭가공 및 유사처리업,자동차 및 전자부품,051-971-1600,
2463,삼흥기업,경상남도 창원시 마산회원구 내서읍 수곡로 50-25 B동 공장,"탭, 밸브 및 유사장치 제조업","선박밸브, 공작기계부품",,055-246-9439
2464,삼흥정공(주),"경상남도 창원시 성산구 공단로 308-21 (웅남동, 삼흥정공(주))",금속 절삭기계 제조업 외 10 종,"CNC공작기계부품, 항공기부품 및 치공구, 자동차부품, 산업기계류",055-262-7019,055-284-0922
2465,삼흥테크,경상남도 창원시 의창구 팔용동 36번지 제3아파트형공장 5동 1층 5호,기타 가공 공작기계 제조업,공작기계 스핀들,055-297-7566,055-297-7651
2466,삼흥테크(주),"경상남도 창원시 의창구 죽전로82번길 39 (팔용동, (주)삼우)",그 외 자동차용 신품 부품 제조업 외 3 종,크랑크케이스 등,055-299-3851,055-299-3853
2467,상록양돈영농조합법인,경상남도 창원시 의창구 동읍 월잠리 84-15번지 외 1필지,복합비료 및 기타 화학비료 제조업 외 1 종,유기질 비료(퇴비),055-253-8229,055-253-7670
2468,상문종합인쇄,"경상남도 창원시 마산회원구 회성시장1길 16 (회성동, 회성종합시장)",경 인쇄업 외 2 종,스티커 설명서(각종인쇄)업),055-297-2221,055-297-2123
2469,상승정밀,경상남도 창원시 성산구 남면로 131 (대원동),절삭가공 및 유사처리업,기계부품,055-263-4491,055-265-4456
2470,상신테크,"경상남도 창원시 성산구 완암로 50, 테크동 1층 109호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,지그제작 등,055-284-1345,055-284-1346
2471,상신테크,경상남도 창원시 마산회원구 봉암공단8길 59 (봉암동),주형 및 금형 제조업,주형 및 금형제작,055-295-7008,055-295-7088
2472,상신테크,경상남도 창원시 마산회원구 봉암공단7길 43 (봉암동),산업처리공정 제어장비 제조업,로봇자동화 설비,,055-284-1346
2473,상원이엔지,경상남도 창원시 마산회원구 내서읍 수곡로 33,그 외 기타 전기장비 제조업,마그네트 척,055-232-0560,055-232-0561
2474,상원테크,경상남도 창원시 마산합포구 진북면 망곡리 572번지,그 외 기타 1차 철강 제조업,"굴삭기,페이다,부품제고",055-271-8211,055-271-8210
2475,상진산업기계,경상남도 창원시 마산합포구 진동면 태봉2길 214 (상진산업기계),그 외 자동차용 신품 부품 제조업 외 3 종,기어박스 Grapple,055-271-8644,055-271-8646
2476,상진정밀(주),"경상남도 창원시 의창구 죽전로40번길 37 (팔용동, (주)신환특수강 B동)",금속 절삭기계 제조업,BASE HOLDER,055-294-5151,055-294-5155
2477,상진정밀(주),경상남도 창원시 성산구 웅남로 654-49 (성산동),자동차용 신품 동력전달장치 제조업 외 1 종,"자동차 밋션부품, 금속가공",055-294-5151,055-294-5155
2478,새롬FA,"경상남도 창원시 의창구 평산로 23, 신화테크노밸리지식산업센터 107호[(주)이든이엔지 내] (팔용동)",절삭가공 및 유사처리업 외 2 종,"기계(부품)임가공,측정기,전용공작기계",055-276-6102,055-276-6103
2479,새롬씨앤피,경상남도 창원시 의창구 차룡로48번길 44 (팔용동) 1동 5층 513호,경 인쇄업,인쇄,055-266-5865,055-267-6898
2480,새롬정공,"경상남도 창원시 성산구 완암로 50, 테크동 213호 (성산동, SK테크노파크)",기타 가공 공작기계 제조업,"브레이징머신부품제작, 전용장비 부품제작",055-292-0881,055-600-6348
2481,새한정밀,"경상남도 창원시 의창구 팔용로346번길 30 (팔용동, (주)우신엠.에스공장)",절삭가공 및 유사처리업,금형부품,055-255-0940,055-255-0940
2482,새한정밀,"경상남도 창원시 마산회원구 양덕남8길 23-1 (양덕동, 주택)",톱 및 호환성 공구 제조업,초경합금 공구,055-299-3411,055-299-3411
2483,새한테크,경상남도 창원시 마산회원구 봉암공단14길 36 (봉암동),유압기기 제조업,유압기기 및 부품,055-291-0127,055-294-4643
2484,새한하이테크(주),경상남도 창원시 의창구 차룡단지로 173 (팔용동),절삭가공 및 유사처리업 외 13 종,"신관,유도무기,판넬도어,적재훈련탄,항타기,완충기,원심펌프,샤프트축,부싱,브라켓,방탄판",055-296-6332,055-293-8195
2485,새한합작(주),"경상남도 창원시 마산회원구 봉암공단13길 23-29, 9동 2층 0 (봉암동)",정형외과용 및 신체보정용 기기 제조업,의료용보철기,055-294-0381,055-293-5019
2486,서강유니폼,"경상남도 창원시 마산합포구 3·15대로 372, 2층 (중성동)","근무복, 작업복 및 유사의복 제조업 외 2 종","근무복, 작업복, 교복, 체육복 기타 유사 의복",,055-299-1476
2487,서경솔루텍,"경상남도 창원시 의창구 사화로 210, 1동 1층 112-1 (팔용동)",절삭가공 및 유사처리업,"CHUCK, JIG FIXTURE",055-293-9790,055-293-9710
2488,서경정밀,경상남도 창원시 마산회원구 내서읍 수곡로 46-1 (서경정밀),금속 절삭기계 제조업,공작기계기어,055-231-4685,055-231-4689
2489,서경테크,"경상남도 창원시 성산구 완암로 50, 넥스동 3층 304호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,절삭공구,055-277-4097,055-276-4097
2490,서경테크,"경상남도 창원시 성산구 완암로 50, 메카동 5층 510호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,절삭공구,055-277-4097,055-276-4097
2491,서광엔지니어링,경상남도 창원시 의창구 북면 운무로 830,기타 가공 공작기계 제조업,"공작기계ASSY, 부분품",,
2492,서광전자,경상남도 창원시 진해구 이동로69번길 12 (이동),그 외 기타 전자부품 제조업 외 19 종,통신전자부품,055-541-0071,055-541-0095
2493,서광테크,"경상남도 창원시 의창구 사화로 210, 1층 107 (팔용동)",절삭가공 및 유사처리업,기계(자동차)부품 가공,055-287-3704,055-287-3705
2494,서광테크,경상남도 창원시 마산회원구 봉암공단로 10 (봉암동),절삭가공 및 유사처리업,"연삭가공 제품, 자동차부품",055-264-3919,055-264-3920
2495,서근산업,경상남도 창원시 성산구 정동로62번길 76 (성주동),산업처리공정 제어장비 제조업,자동화 설비,055-263-5063,055-275-3207
2496,서림기업,"경상남도 창원시 마산합포구 수산2길 163, 2층 (남성동)",기타 목재가구 제조업 외 1 종,사무용가구 등,055-246-0546,055-245-6726
2497,서림산업,경상남도 창원시 진해구 남영로552번길 21 (남양동),금속탱크 및 저장용기 제조업 외 1 종,선박구성품,,055-313-7996
2498,서림정밀,"경상남도 창원시 의창구 창원대로363번길 11, 3동 1층 5 (팔용동, 창원제3표준공장)",절삭가공 및 유사처리업,스핀들 및 연삭기 부품 등 임가공,055-298-8926,055-298-8928
2499,서림테크,"경상남도 창원시 성산구 웅남로 316, 1동 1층 105, 205, 305, 405 (웅남동)",금속 절삭기계 제조업,공작기계 부품,055-263-3274,055-263-3277
2500,서보산업전자,"경상남도 창원시 성산구 완암로 50, 테크동 1층 103호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,산업장비,055-276-0515,055-276-0514
2501,서오기술,"경상남도 창원시 성산구 완암로 50, 넥스동 306호 (성산동, SK테크노파크)",배전반 및 전기 자동제어반 제조업,"제어반, servo, cable",055-255-4360,055-255-4370
2502,서용산업,경상남도 창원시 마산회원구 봉암공단5길 42-13 (봉암동),그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종,기계부품,055-241-4846,055-247-8060
2503,서울쇼트공업(주),경상남도 창원시 성산구 공단로 680 (성주동),강주물 주조업,"스틸쇼트,주강그릿트",055-283-3735,055-283-8370
2504,서울열처리,"경상남도 창원시 성산구 월림로 3 (신촌동, 서울열처리)",금속 열처리업,금속열처리,055-286-2333,055-286-2335
2505,서원산업사,"경상남도 창원시 마산회원구 봉암공단12길 25 (봉암동, 반도화성산업사) 외 1필지",구조용 금속 판제품 및 공작물 제조업 외 1 종,"공구함, 캐비넷",055-251-9773,051-252-9773
2506,서원시스템,"경상남도 창원시 성산구 연덕로27번길 18 (웅남동, 태극정공)",배전반 및 전기 자동제어반 제조업,제어반,055-266-1027,055-266-2027
2507,서원특수강,경상남도 창원시 의창구 죽전로74번길 33 (팔용동),절삭가공 및 유사처리업,특수강 절단 및 가공품,,055-273-6417
2508,서원하이텍,"경상남도 창원시 성산구 완암로 50, 테크동 7층 711호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,"산업기계부품, 자동차부품",055-251-6266,055-251-6267
2509,서일풍력공조산업,경상남도 창원시 의창구 대산면 주남로394번길 29-1,산업용 송풍기 및 배기장치 제조업,산업용 송풍기,055-251-7604,055-252-6762
2510,서임테크,"경상남도 창원시 성산구 연덕로15번길 16, 112호, 122호 (웅남동, 아이케이)",절삭가공 및 유사처리업,"금형부품, 치공구",055-262-8215,055-261-8215
2511,서전이엔티,경상남도 창원시 마산회원구 봉암공단11길 84 (봉암동),그 외 기타 특수목적용 기계 제조업 외 1 종,"자동화기기, 각종 지그",,050-4144-0012
2512,서진기계,경상남도 창원시 마산합포구 진북면 산단1길 29-26,"용기 세척, 포장 및 충전기 제조업 외 3 종",자동포장설비 등,055-271-7950,055-272-0670
2513,서진이엔씨,경상남도 창원시 성산구 월림로65번길 6-37 (신촌동),그 외 기타 금속가공업,기계부품,055-288-4867,055-288-4865
2514,서진전력공사,경상남도 창원시 마산회원구 내서읍 광려천북로 20-19,배전반 및 전기 자동제어반 제조업,전기자동제어반,055-232-0696,055-232-0697
2515,서진정밀,경상남도 창원시 진해구 웅천서로41번길 90 (제덕동),기타 가공 공작기계 제조업,공작기계,055-256-2671,055-256-2674
2516,서진정밀,경상남도 창원시 마산회원구 내서읍 신평로 35-1 (서진정밀),기타 가공 공작기계 제조업,렌즈용가공기계 부품,055-231-6171,055-231-6172
2517,서진정밀-1공장,경상남도 창원시 의창구 죽전로 36 (팔용동),기타 가공 공작기계 제조업,유압cylinder. ATC등,055-296-3081,055-296-3084
2518,서진치공구,"경상남도 창원시 성산구 완암로 50, 테크동 4층 414호 (성산동, SK테크노파크)",그 외 기타 금속가공업,치공구 및 게이지 등,,055-895-6300
2519,서진테크,"경상남도 창원시 성산구 완암로 50, 메카동 4층 408호 (성산동, SK테크노파크)",기타 가공 공작기계 제조업 외 3 종,공작기계 전장,055-292-1847,055-292-1846
2520,서현테크,"경상남도 창원시 성산구 완암로 50, 넥스동 9층 913호 (성산동, SK테크노파크)","전기회로 개폐, 보호장치 제조업 외 1 종",전기회로 개폐기,070-7675-8299,070-7614-8298
2521,석보인쇄,경상남도 창원시 의창구 도계두리길 44 (도계동),기타 인쇄업 외 1 종,각종인쇄물,055-277-1243,
2522,선경테크,"경상남도 창원시 성산구 완암로 50, 메카동 2층 205 (성산동, SK테크노파크)",기체 펌프 및 압축기 제조업,진공펌프,,055-266-2126
2523,선기산업기계,"경상남도 창원시 성산구 완암로 50, 테크동 614호 (성산동, SK테크노파크)",그 외 기타 특수목적용 기계 제조업 외 1 종,도장부스 외,055-247-3781,055-247-3693
2524,선도,경상남도 창원시 의창구 차룡로 1 (팔용동),주형 및 금형 제조업,금형부품,,
2525,선린테크,경상남도 창원시 마산회원구 봉암공단10길 52 (봉암동),기타 가공 공작기계 제조업,정밀치공구 부품,055-293-6321,055-293-6321
2526,선명ENG,"경상남도 창원시 성산구 삼동로 100-29, 9 (내동)",구름베어링 제조업,베어링치공구,055-281-9233,055-281-5233
2527,선명테크,"경상남도 창원시 마산회원구 봉암공단8길 31 (봉암동, 한양기공)",절삭가공 및 유사처리업,기계부품,055-288-6958,055-237-6957
2528,선민기계,경상남도 창원시 의창구 북면 동전로 130 (주식회사진강),컨베이어장치 제조업 외 1 종,컨베이어,055-296-3202,
2529,선우ENG,경상남도 창원시 성산구 반월로68번길 30 (신촌동),항공기용 부품 제조업,항공부품,055-299-9911,055-299-9935
2530,선우엔지니어링,"경상남도 창원시 성산구 창곡로 138 (신촌동, 대효산업)",절삭가공 및 유사처리업,항공기부품,055-264-8850,
2531,선우정밀,"경상남도 창원시 성산구 월림로65번길 6-43 (신촌동, 선우정밀)",금속 스프링 제조업,판스프링,055-286-3136,055-286-3137
2532,선우코퍼레이션,경상남도 창원시 의창구 대산면 유등로 46-1,유압기기 제조업,"중장비용체크밸브, 유압용 관이음쇠",055-908-6806,050-5987-6806
2533,선우테크,"경상남도 창원시 의창구 죽전로82번길 39 (팔용동, (주)삼우)",주형 및 금형 제조업,금형가공,070-7557-4275,055-292-1935
2534,선일정공,경상남도 창원시 마산회원구 봉암동 660-318번지,기타 가공 공작기계 제조업,블라스팅 머신,055-256-9905,055-256-9904
2535,선일정공,"경상남도 창원시 마산회원구 봉암공단로 83 (봉암동, 지원중기)",절삭가공 및 유사처리업,기계부품,055-256-9905,055-256-9904
2536,선일정밀,"경상남도 창원시 마산회원구 봉암공단11길 71-3 (봉암동, 태광정밀공업사)",기타 가공 공작기계 제조업,전용기 제작,055-252-6160,055-293-7291
2537,선일테크 2공장,경상남도 창원시 마산합포구 진북면 대티리 478번지 외 4필지 외 4필지,선박 구성 부분품 제조업,선박구성품,,055-256-9904
2538,선진산업,경상남도 창원시 마산회원구 내서읍 용담리 261번지 외 3필지,운송장비 조립용 플라스틱제품 제조업 외 1 종,냉장고 및 자동차 부품,055-231-1740,055-231-6005
2539,선진정공,"경상남도 창원시 성산구 완암로 3, 5동 1층 2호 (웅남동, 한국산업단지공단 창원제4아파트형공장)",금속 절삭기계 제조업,공작기계부품,055-267-8272,
2540,선진테크,경상남도 창원시 마산회원구 봉암공단11길 24 (봉암동),그 외 기타 특수목적용 기계 제조업 외 1 종,자동화설비,055-252-2923,055-253-2923
2541,선테크,"경상남도 창원시 성산구 월림로 71-34 (신촌동, 썬테크)",기타 가공 공작기계 제조업,"엘리베이트부품, 기계부품",055-253-8750,055-263-8750
2542,선한테크,"경상남도 창원시 성산구 완암로 50, 메카동 B1층 117호 (성산동, SK테크노파크) 메카동 B1층 117호",절삭가공 및 유사처리업,에어컨 및 컴프레셔 부품,055-269-3892,055-261-6691
2543,선호테크놀러지,"경상남도 창원시 성산구 완암로 50, 넥스동 10층 1015호 (성산동, SK테크노파크)",그 외 기타 특수목적용 기계 제조업 외 1 종,산업용 검사장비 외,055-607-0553,055-324-7756
2544,성강테크,"경상남도 창원시 성산구 완암로 50, 테크동 4층 405호 (성산동, SK테크노파크)",절삭가공 및 유사처리업,항공기 및 자동차 부품,,055-345-3332
2545,성경테크,경상남도 창원시 마산회원구 봉암공단6길 36 (봉암동),그 외 자동차용 신품 부품 제조업 외 3 종,자동차 제동장치 부품,055-297-0326,055-299-7831
2546,성관테크,"경상남도 창원시 성산구 반월로68번길 3, D동 101호 (신촌동, (주)동성 공장건축물)",기타 가공 공작기계 제조업,공작기계 및 산업기계부품,055-297-3723,055-297-3755
2547,성광기계,경상남도 창원시 의창구 죽전로68번길 21 (팔용동),절삭가공 및 유사처리업,"공작기계,방산 및 항공부품",,055-281-6765
2548,성광상사,"경상남도 창원시 마산합포구 산호동2길 19 (산호동, 주택)",배전반 및 전기 자동제어반 제조업,자동화기기 제작,055-222-3409,055-223-4696
2549,성광엠티,경상남도 창원시 의창구 반계로 19-1 (팔용동),도금업,반도체 검사장비 도금,055-256-7335,055-295-0660
2550,성광정기(주),경상남도 창원시 의창구 동읍 석산길 92,금속 절삭기계 제조업,연삭기,055-299-8628,055-299-8639
2551,성광정밀,경상남도 창원시 성산구 공단로474번길 21-26 (성산동) (총 3 필지) 외 2필지,정형외과용 및 신체보정용 기기 제조업 외 6 종,카메라 Press부품,055-287-7660,055-262-7980
2552,성광정밀,"경상남도 창원시 성산구 완암로 50, SK테크노파크 메카동 4층 405호 (성산동)",주형 및 금형 제조업,금형부품,055-266-2883,
2553,성라정공,경상남도 창원시 마산합포구 진전면 삼진의거대로 364-59 (성라정공),비동력식 수공구 제조업,"치공구,제관",055-271-8092,055-271-8092
2554,성록정밀,경상남도 창원시 마산회원구 봉암북13길 29 (봉암동),그 외 기타 금속가공업,기계 자동자부품,055-298-7529,055-298-7530
2555,성림E테크,"경상남도 창원시 성산구 반월로 61-43 (신촌동, 진영정공)",배전반 및 전기 자동제어반 제조업 외 2 종,"제어반, 산업용 로",055-262-5420,055-262-5422
2556,성림정공,경상남도 창원시 성산구 월림로39번길 3 (신촌동),자동차용 신품 동력전달장치 제조업 외 1 종,자동차부품,055-281-9008,055-281-9050
2557,성민기업,경상남도 창원시 성산구 공단로 675 (성주동),주형 및 금형 제조업,금형부품,055-239-3621,055-283-0097
2558,성민수산,"경상남도 창원시 마산합포구 가포신항남로 12-39, 성민수산 (가포동)","수산동물 훈제, 조리 및 유사 조제식품 제조업",자숙새꼬막 등,055-643-1335,055-643-1336
2559,성민테크,경상남도 창원시 의창구 팔용동 23-7번지 신화테크노밸리지식산업센터 104호,절삭가공 및 유사처리업,유압 및 기계부품 임가공,055-296-0064,055-296-0064
2560,성보레이저,경상남도 창원시 마산회원구 봉암공단5길 59 (봉암동),전투용 차량 제조업,전차부품,055-296-1602,055-296-2379
2561,성보정밀,"경상남도 창원시 성산구 월림로49번길 8-20 (신촌동, 성보정밀)",금속 절삭기계 제조업,치공구제작,055-286-2350,055-286-2351
2562,성보테크,경상남도 창원시 성산구 월림로 71-7 (신촌동),주형 및 금형 제조업,금형,,055-253-0447
2563,성빈공업,"경상남도 창원시 마산회원구 봉암공단로 59-3 (봉암동, 성빈공업)",절삭가공 및 유사처리업,기계부품,055-251-3698,055-293-3698
2564,성빈테크,"경상남도 창원시 성산구 남면로 219, 코리아지식산업센터 28호 (대원동)",자동차용 금속 압형제품 제조업,"자동화기기, 지그",055-266-2723,055-266-2724
2565,성산금속,"경상남도 창원시 성산구 월림로65번길 1 (신촌동, 성산금속)",그 외 자동차용 신품 부품 제조업 외 1 종,자동차부품,055-286-2901,055-286-2903
2566,성산금속,"경상남도 창원시 성산구 공단로 367 (웅남동, 성산금속 공장)",절삭가공 및 유사처리업,공구강 외,055-274-0662,055-267-0662
2567,성산기계,경상남도 창원시 의창구 대산면 진남로114번길 73 외 2필지,절삭가공 및 유사처리업,철판재류 절단가공품,055-262-8856,
2568,성산기술,경상남도 창원시 성산구 창곡로108번길 40 (창곡동),주형 및 금형 제조업,자동차 부품,055-262-0951,055-262-0950
2569,성산웰텍,"경상남도 창원시 성산구 완암로 50, 테크동 2층 201호 (성산동, SK테크노파크)",그 외 기타 금속가공업,특수용접,055-276-6721,055-276-6701
2570,성산테크(주),"경상남도 창원시 성산구 연덕로27번길 23 (웅남동, (주)엠 티)",금속 절삭기계 제조업,기계부품,055-264-9051,055-264-9054
2571,성산테크놀로지 주식회사,"경상남도 창원시 성산구 완암로 50, 테크동 1009호 (성산동, SK테크노파크)","물질 검사, 측정 및 분석기구 제조업 외 2 종",화생방물질 탐지식별장비,055-283-9170,055-283-9180
2572,성산특수강,경상남도 창원시 성산구 반월로 61-10 (신촌동),그 외 기타 1차 철강 제조업,환봉절단,055-283-3334,055-283-3635
2573,성산특수강,경상남도 창원시 성산구 연덕로27번길 28 (웅남동),그 외 기타 1차 철강 제조업,환봉절단,055-261-7088,055-261-3088
2574,성산하이스피드,"경상남도 창원시 성산구 완암로 50, 메카동 지하층 B122,B123호 (성산동, SK테크노파크)",그 외 기타 금속가공업,"에어베어링,의료기부품외",055-264-2268,055-263-2267
2575,성산항공(주),경상남도 창원시 성산구 정동로62번길 56-19 (성주동),항공기용 엔진 제조업,항공기엔진부품,,055-289-7489
2576,성신메카텍(주),"경상남도 창원시 성산구 남면로 219, 2동 1층 19호 (대원동)",절삭가공 및 유사처리업,"방산부품, 공작기계부품(임가공)",055-294-3861,055-252-5996
2577,성신메카텍(주),경상남도 창원시 성산구 남면로 137 (대원동),절삭가공 및 유사처리업 외 1 종,"금속가공품, 자동화기계",055-294-3861,055-252-5996
2578,성신쇼트기계,경상남도 창원시 성산구 월림로67번길 23 (신촌동),절삭가공 및 유사처리업,"산업기계제작(쇼트컷, 쇼트기부품)",070-4402-0883,055-265-0883
